"year","causeOfDeath","sex","deaths"
2014,"Rheumatoid arthritis","Females",156
2014,"Rheumatoid arthritis","Total",211
1968,"All diseases of the genitourinary system","Males",1165
1968,"All diseases of the genitourinary system","Females",1081
1968,"All diseases of the genitourinary system","Total",2246
1969,"All diseases of the genitourinary system","Males",1087
1969,"All diseases of the genitourinary system","Females",1030
1969,"All diseases of the genitourinary system","Total",2117
1970,"All diseases of the genitourinary system","Males",1068
1970,"All diseases of the genitourinary system","Females",1075
1970,"All diseases of the genitourinary system","Total",2143
1971,"All diseases of the genitourinary system","Males",916
1971,"All diseases of the genitourinary system","Females",973
1971,"All diseases of the genitourinary system","Total",1889
1972,"All diseases of the genitourinary system","Males",873
1972,"All diseases of the genitourinary system","Females",866
1972,"All diseases of the genitourinary system","Total",1739
1973,"All diseases of the genitourinary system","Males",897
1973,"All diseases of the genitourinary system","Females",840
1973,"All diseases of the genitourinary system","Total",1737
1974,"All diseases of the genitourinary system","Males",879
1974,"All diseases of the genitourinary system","Females",890
1974,"All diseases of the genitourinary system","Total",1769
1975,"All diseases of the genitourinary system","Males",802
1975,"All diseases of the genitourinary system","Females",796
1975,"All diseases of the genitourinary system","Total",1598
1976,"All diseases of the genitourinary system","Males",833
1976,"All diseases of the genitourinary system","Females",781
1976,"All diseases of the genitourinary system","Total",1614
1977,"All diseases of the genitourinary system","Males",787
1977,"All diseases of the genitourinary system","Females",822
1977,"All diseases of the genitourinary system","Total",1609
1978,"All diseases of the genitourinary system","Males",707
1978,"All diseases of the genitourinary system","Females",765
1978,"All diseases of the genitourinary system","Total",1472
1979,"All diseases of the genitourinary system","Males",666
1979,"All diseases of the genitourinary system","Females",817
1979,"All diseases of the genitourinary system","Total",1483
1980,"All diseases of the genitourinary system","Males",816
1980,"All diseases of the genitourinary system","Females",833
1980,"All diseases of the genitourinary system","Total",1649
1981,"All diseases of the genitourinary system","Males",722
1981,"All diseases of the genitourinary system","Females",876
1981,"All diseases of the genitourinary system","Total",1598
1982,"All diseases of the genitourinary system","Males",762
1982,"All diseases of the genitourinary system","Females",955
1982,"All diseases of the genitourinary system","Total",1717
1983,"All diseases of the genitourinary system","Males",735
1983,"All diseases of the genitourinary system","Females",976
1983,"All diseases of the genitourinary system","Total",1711
1984,"All diseases of the genitourinary system","Males",759
1984,"All diseases of the genitourinary system","Females",956
1984,"All diseases of the genitourinary system","Total",1715
1985,"All diseases of the genitourinary system","Males",830
1985,"All diseases of the genitourinary system","Females",1030
1985,"All diseases of the genitourinary system","Total",1860
1986,"All diseases of the genitourinary system","Males",750
1986,"All diseases of the genitourinary system","Females",984
1986,"All diseases of the genitourinary system","Total",1734
1987,"All diseases of the genitourinary system","Males",745
1987,"All diseases of the genitourinary system","Females",979
1987,"All diseases of the genitourinary system","Total",1724
1988,"All diseases of the genitourinary system","Males",821
1988,"All diseases of the genitourinary system","Females",1029
1988,"All diseases of the genitourinary system","Total",1850
1989,"All diseases of the genitourinary system","Males",842
1989,"All diseases of the genitourinary system","Females",1087
1989,"All diseases of the genitourinary system","Total",1929
1990,"All diseases of the genitourinary system","Males",845
1990,"All diseases of the genitourinary system","Females",1043
1990,"All diseases of the genitourinary system","Total",1888
1991,"All diseases of the genitourinary system","Males",895
1991,"All diseases of the genitourinary system","Females",1074
1991,"All diseases of the genitourinary system","Total",1969
1992,"All diseases of the genitourinary system","Males",845
1992,"All diseases of the genitourinary system","Females",1016
1992,"All diseases of the genitourinary system","Total",1861
1993,"All diseases of the genitourinary system","Males",855
1993,"All diseases of the genitourinary system","Females",1069
1993,"All diseases of the genitourinary system","Total",1924
1994,"All diseases of the genitourinary system","Males",977
1994,"All diseases of the genitourinary system","Females",1133
1994,"All diseases of the genitourinary system","Total",2110
1995,"All diseases of the genitourinary system","Males",947
1995,"All diseases of the genitourinary system","Females",1127
1995,"All diseases of the genitourinary system","Total",2074
1996,"All diseases of the genitourinary system","Males",1001
1996,"All diseases of the genitourinary system","Females",1243
1996,"All diseases of the genitourinary system","Total",2244
1997,"All diseases of the genitourinary system","Males",1186
1997,"All diseases of the genitourinary system","Females",1402
1997,"All diseases of the genitourinary system","Total",2588
1998,"All diseases of the genitourinary system","Males",1197
1998,"All diseases of the genitourinary system","Females",1500
1998,"All diseases of the genitourinary system","Total",2697
1999,"All diseases of the genitourinary system","Males",1232
1999,"All diseases of the genitourinary system","Females",1536
1999,"All diseases of the genitourinary system","Total",2768
2000,"All diseases of the genitourinary system","Males",1186
2000,"All diseases of the genitourinary system","Females",1506
2000,"All diseases of the genitourinary system","Total",2692
2001,"All diseases of the genitourinary system","Males",1242
2001,"All diseases of the genitourinary system","Females",1570
2001,"All diseases of the genitourinary system","Total",2812
2002,"All diseases of the genitourinary system","Males",1333
2002,"All diseases of the genitourinary system","Females",1650
2002,"All diseases of the genitourinary system","Total",2983
2003,"All diseases of the genitourinary system","Males",1339
2003,"All diseases of the genitourinary system","Females",1662
2003,"All diseases of the genitourinary system","Total",3001
2004,"All diseases of the genitourinary system","Males",1342
2004,"All diseases of the genitourinary system","Females",1634
2004,"All diseases of the genitourinary system","Total",2976
2005,"All diseases of the genitourinary system","Males",1316
2005,"All diseases of the genitourinary system","Females",1717
2005,"All diseases of the genitourinary system","Total",3033
2006,"All diseases of the genitourinary system","Males",1533
2006,"All diseases of the genitourinary system","Females",1766
2006,"All diseases of the genitourinary system","Total",3299
2007,"All diseases of the genitourinary system","Males",1505
2007,"All diseases of the genitourinary system","Females",1826
2007,"All diseases of the genitourinary system","Total",3331
2008,"All diseases of the genitourinary system","Males",1547
2008,"All diseases of the genitourinary system","Females",1786
2008,"All diseases of the genitourinary system","Total",3333
2009,"All diseases of the genitourinary system","Males",1574
2009,"All diseases of the genitourinary system","Females",1835
2009,"All diseases of the genitourinary system","Total",3409
2010,"All diseases of the genitourinary system","Males",1552
2010,"All diseases of the genitourinary system","Females",1847
2010,"All diseases of the genitourinary system","Total",3399
2011,"All diseases of the genitourinary system","Males",1659
2011,"All diseases of the genitourinary system","Females",1817
2011,"All diseases of the genitourinary system","Total",3476
2012,"All diseases of the genitourinary system","Males",1736
2012,"All diseases of the genitourinary system","Females",2081
2012,"All diseases of the genitourinary system","Total",3817
2013,"All diseases of the genitourinary system","Males",1404
2013,"All diseases of the genitourinary system","Females",1704
2013,"All diseases of the genitourinary system","Total",3108
2014,"All diseases of the genitourinary system","Males",1427
2014,"All diseases of the genitourinary system","Females",1815
2014,"All diseases of the genitourinary system","Total",3242
1979,"Kidney failure","Males",208
1979,"Kidney failure","Females",218
1979,"Kidney failure","Total",426
1980,"Kidney failure","Males",265
1980,"Kidney failure","Females",258
1980,"Kidney failure","Total",523
1981,"Kidney failure","Males",268
1981,"Kidney failure","Females",272
1981,"Kidney failure","Total",540
1982,"Kidney failure","Males",264
1982,"Kidney failure","Females",343
1982,"Kidney failure","Total",607
1983,"Kidney failure","Males",281
1983,"Kidney failure","Females",361
1983,"Kidney failure","Total",642
1984,"Kidney failure","Males",318
1984,"Kidney failure","Females",375
1984,"Kidney failure","Total",693
1985,"Kidney failure","Males",370
1985,"Kidney failure","Females",420
1985,"Kidney failure","Total",790
1986,"Kidney failure","Males",343
1986,"Kidney failure","Females",411
1986,"Kidney failure","Total",754
1987,"Kidney failure","Males",348
1987,"Kidney failure","Females",450
1987,"Kidney failure","Total",798
1988,"Kidney failure","Males",432
1988,"Kidney failure","Females",501
1988,"Kidney failure","Total",933
1989,"Kidney failure","Males",449
1989,"Kidney failure","Females",546
1989,"Kidney failure","Total",995
1990,"Kidney failure","Males",472
1990,"Kidney failure","Females",506
1990,"Kidney failure","Total",978
1991,"Kidney failure","Males",453
1991,"Kidney failure","Females",562
1991,"Kidney failure","Total",1015
1992,"Kidney failure","Males",483
1992,"Kidney failure","Females",550
1992,"Kidney failure","Total",1033
1993,"Kidney failure","Males",545
1993,"Kidney failure","Females",629
1993,"Kidney failure","Total",1174
1994,"Kidney failure","Males",625
1994,"Kidney failure","Females",661
1994,"Kidney failure","Total",1286
1995,"Kidney failure","Males",608
1995,"Kidney failure","Females",686
1995,"Kidney failure","Total",1294
1996,"Kidney failure","Males",685
1996,"Kidney failure","Females",799
1996,"Kidney failure","Total",1484
1997,"Kidney failure","Males",776
1997,"Kidney failure","Females",815
1997,"Kidney failure","Total",1591
1998,"Kidney failure","Males",795
1998,"Kidney failure","Females",877
1998,"Kidney failure","Total",1672
1999,"Kidney failure","Males",842
1999,"Kidney failure","Females",919
1999,"Kidney failure","Total",1761
2000,"Kidney failure","Males",802
2000,"Kidney failure","Females",913
2000,"Kidney failure","Total",1715
2001,"Kidney failure","Males",813
2001,"Kidney failure","Females",891
2001,"Kidney failure","Total",1704
2002,"Kidney failure","Males",919
2002,"Kidney failure","Females",1006
2002,"Kidney failure","Total",1925
2003,"Kidney failure","Males",960
2003,"Kidney failure","Females",1026
2003,"Kidney failure","Total",1986
2004,"Kidney failure","Males",928
2004,"Kidney failure","Females",967
2004,"Kidney failure","Total",1895
2005,"Kidney failure","Males",883
2005,"Kidney failure","Females",1003
2005,"Kidney failure","Total",1886
2006,"Kidney failure","Males",1084
2006,"Kidney failure","Females",1079
2006,"Kidney failure","Total",2163
2007,"Kidney failure","Males",1164
2007,"Kidney failure","Females",1303
2007,"Kidney failure","Total",2467
2008,"Kidney failure","Males",1226
2008,"Kidney failure","Females",1372
2008,"Kidney failure","Total",2598
2009,"Kidney failure","Males",1254
2009,"Kidney failure","Females",1477
2009,"Kidney failure","Total",2731
2010,"Kidney failure","Males",1148
2010,"Kidney failure","Females",1342
2010,"Kidney failure","Total",2490
2011,"Kidney failure","Males",1207
2011,"Kidney failure","Females",1246
2011,"Kidney failure","Total",2453
2012,"Kidney failure","Males",1281
2012,"Kidney failure","Females",1396
2012,"Kidney failure","Total",2677
2013,"Kidney failure","Males",941
2013,"Kidney failure","Females",1060
2013,"Kidney failure","Total",2001
2014,"Kidney failure","Males",946
2014,"Kidney failure","Females",1128
2014,"Kidney failure","Total",2074
1907,"All pregnancy, childbirth and the puerperium","Females",614
1907,"All pregnancy, childbirth and the puerperium","Total",614
1908,"All pregnancy, childbirth and the puerperium","Females",606
1908,"All pregnancy, childbirth and the puerperium","Total",606
1909,"All pregnancy, childbirth and the puerperium","Females",577
1909,"All pregnancy, childbirth and the puerperium","Total",577
1910,"All pregnancy, childbirth and the puerperium","Females",590
1910,"All pregnancy, childbirth and the puerperium","Total",590
1911,"All pregnancy, childbirth and the puerperium","Females",615
1911,"All pregnancy, childbirth and the puerperium","Total",615
1912,"All pregnancy, childbirth and the puerperium","Females",644
1912,"All pregnancy, childbirth and the puerperium","Total",644
1913,"All pregnancy, childbirth and the puerperium","Females",663
1913,"All pregnancy, childbirth and the puerperium","Total",663
1914,"All pregnancy, childbirth and the puerperium","Females",634
1914,"All pregnancy, childbirth and the puerperium","Total",634
1915,"All pregnancy, childbirth and the puerperium","Females",574
1915,"All pregnancy, childbirth and the puerperium","Total",574
1916,"All pregnancy, childbirth and the puerperium","Females",693
1916,"All pregnancy, childbirth and the puerperium","Total",693
1917,"All pregnancy, childbirth and the puerperium","Females",732
1917,"All pregnancy, childbirth and the puerperium","Total",732
1918,"All pregnancy, childbirth and the puerperium","Females",592
1918,"All pregnancy, childbirth and the puerperium","Total",592
1919,"All pregnancy, childbirth and the puerperium","Females",570
1919,"All pregnancy, childbirth and the puerperium","Total",570
1920,"All pregnancy, childbirth and the puerperium","Females",682
1920,"All pregnancy, childbirth and the puerperium","Total",682
1921,"All pregnancy, childbirth and the puerperium","Females",643
1921,"All pregnancy, childbirth and the puerperium","Total",643
1922,"All pregnancy, childbirth and the puerperium","Females",621
1922,"All pregnancy, childbirth and the puerperium","Total",621
1923,"All pregnancy, childbirth and the puerperium","Females",691
1923,"All pregnancy, childbirth and the puerperium","Total",691
1924,"All pregnancy, childbirth and the puerperium","Females",738
1924,"All pregnancy, childbirth and the puerperium","Total",738
1925,"All pregnancy, childbirth and the puerperium","Females",766
1925,"All pregnancy, childbirth and the puerperium","Total",766
1926,"All pregnancy, childbirth and the puerperium","Females",706
1926,"All pregnancy, childbirth and the puerperium","Total",706
1927,"All pregnancy, childbirth and the puerperium","Females",792
1927,"All pregnancy, childbirth and the puerperium","Total",792
1928,"All pregnancy, childbirth and the puerperium","Females",802
1928,"All pregnancy, childbirth and the puerperium","Total",802
1929,"All pregnancy, childbirth and the puerperium","Females",658
1929,"All pregnancy, childbirth and the puerperium","Total",658
1930,"All pregnancy, childbirth and the puerperium","Females",680
1930,"All pregnancy, childbirth and the puerperium","Total",680
1931,"All pregnancy, childbirth and the puerperium","Females",650
1931,"All pregnancy, childbirth and the puerperium","Total",650
1932,"All pregnancy, childbirth and the puerperium","Females",616
1932,"All pregnancy, childbirth and the puerperium","Total",616
1933,"All pregnancy, childbirth and the puerperium","Females",571
1933,"All pregnancy, childbirth and the puerperium","Total",571
1934,"All pregnancy, childbirth and the puerperium","Females",631
1934,"All pregnancy, childbirth and the puerperium","Total",631
1935,"All pregnancy, childbirth and the puerperium","Females",469
1935,"All pregnancy, childbirth and the puerperium","Total",469
1936,"All pregnancy, childbirth and the puerperium","Females",696
1936,"All pregnancy, childbirth and the puerperium","Total",696
1937,"All pregnancy, childbirth and the puerperium","Females",551
1937,"All pregnancy, childbirth and the puerperium","Total",551
1938,"All pregnancy, childbirth and the puerperium","Females",562
1938,"All pregnancy, childbirth and the puerperium","Total",562
1939,"All pregnancy, childbirth and the puerperium","Females",503
1939,"All pregnancy, childbirth and the puerperium","Total",503
1940,"All pregnancy, childbirth and the puerperium","Females",515
1940,"All pregnancy, childbirth and the puerperium","Total",515
1941,"All pregnancy, childbirth and the puerperium","Females",490
1941,"All pregnancy, childbirth and the puerperium","Total",490
1942,"All pregnancy, childbirth and the puerperium","Females",491
1942,"All pregnancy, childbirth and the puerperium","Total",491
1943,"All pregnancy, childbirth and the puerperium","Females",497
1943,"All pregnancy, childbirth and the puerperium","Total",497
1944,"All pregnancy, childbirth and the puerperium","Females",437
1944,"All pregnancy, childbirth and the puerperium","Total",437
1945,"All pregnancy, childbirth and the puerperium","Females",346
1945,"All pregnancy, childbirth and the puerperium","Total",346
1946,"All pregnancy, childbirth and the puerperium","Females",327
1946,"All pregnancy, childbirth and the puerperium","Total",327
1947,"All pregnancy, childbirth and the puerperium","Females",341
1947,"All pregnancy, childbirth and the puerperium","Total",341
1948,"All pregnancy, childbirth and the puerperium","Females",250
1948,"All pregnancy, childbirth and the puerperium","Total",250
1949,"All pregnancy, childbirth and the puerperium","Females",220
1949,"All pregnancy, childbirth and the puerperium","Total",220
1950,"All pregnancy, childbirth and the puerperium","Females",208
1950,"All pregnancy, childbirth and the puerperium","Total",208
1951,"All pregnancy, childbirth and the puerperium","Females",203
1951,"All pregnancy, childbirth and the puerperium","Total",203
1952,"All pregnancy, childbirth and the puerperium","Females",190
1952,"All pregnancy, childbirth and the puerperium","Total",190
1953,"All pregnancy, childbirth and the puerperium","Females",126
1953,"All pregnancy, childbirth and the puerperium","Total",126
1954,"All pregnancy, childbirth and the puerperium","Females",139
1954,"All pregnancy, childbirth and the puerperium","Total",139
1955,"All pregnancy, childbirth and the puerperium","Females",133
1955,"All pregnancy, childbirth and the puerperium","Total",133
1956,"All pregnancy, childbirth and the puerperium","Females",119
1956,"All pregnancy, childbirth and the puerperium","Total",119
1957,"All pregnancy, childbirth and the puerperium","Females",138
1957,"All pregnancy, childbirth and the puerperium","Total",138
1958,"All pregnancy, childbirth and the puerperium","Females",111
1958,"All pregnancy, childbirth and the puerperium","Total",111
1959,"All pregnancy, childbirth and the puerperium","Females",104
1959,"All pregnancy, childbirth and the puerperium","Total",104
1960,"All pregnancy, childbirth and the puerperium","Females",121
1960,"All pregnancy, childbirth and the puerperium","Total",121
1961,"All pregnancy, childbirth and the puerperium","Females",108
1961,"All pregnancy, childbirth and the puerperium","Total",108
1962,"All pregnancy, childbirth and the puerperium","Females",85
1962,"All pregnancy, childbirth and the puerperium","Total",85
1963,"All pregnancy, childbirth and the puerperium","Females",64
1963,"All pregnancy, childbirth and the puerperium","Total",64
1964,"All pregnancy, childbirth and the puerperium","Females",75
1964,"All pregnancy, childbirth and the puerperium","Total",75
1965,"All pregnancy, childbirth and the puerperium","Females",74
1965,"All pregnancy, childbirth and the puerperium","Total",74
1966,"All pregnancy, childbirth and the puerperium","Females",66
1966,"All pregnancy, childbirth and the puerperium","Total",66
1967,"All pregnancy, childbirth and the puerperium","Females",53
1967,"All pregnancy, childbirth and the puerperium","Total",53
1968,"All pregnancy, childbirth and the puerperium","Females",68
1968,"All pregnancy, childbirth and the puerperium","Total",68
1969,"All pregnancy, childbirth and the puerperium","Females",44
1969,"All pregnancy, childbirth and the puerperium","Total",44
1970,"All pregnancy, childbirth and the puerperium","Females",66
1970,"All pregnancy, childbirth and the puerperium","Total",66
1971,"All pregnancy, childbirth and the puerperium","Females",51
1971,"All pregnancy, childbirth and the puerperium","Total",51
1972,"All pregnancy, childbirth and the puerperium","Females",33
1972,"All pregnancy, childbirth and the puerperium","Total",33
1973,"All pregnancy, childbirth and the puerperium","Females",28
1973,"All pregnancy, childbirth and the puerperium","Total",28
1974,"All pregnancy, childbirth and the puerperium","Females",28
1974,"All pregnancy, childbirth and the puerperium","Total",28
1975,"All pregnancy, childbirth and the puerperium","Females",13
1975,"All pregnancy, childbirth and the puerperium","Total",13
1976,"All pregnancy, childbirth and the puerperium","Females",30
1976,"All pregnancy, childbirth and the puerperium","Total",30
1977,"All pregnancy, childbirth and the puerperium","Females",18
1977,"All pregnancy, childbirth and the puerperium","Total",18
1978,"All pregnancy, childbirth and the puerperium","Females",15
1978,"All pregnancy, childbirth and the puerperium","Total",15
1979,"All pregnancy, childbirth and the puerperium","Females",18
1979,"All pregnancy, childbirth and the puerperium","Total",18
1980,"All pregnancy, childbirth and the puerperium","Females",22
1980,"All pregnancy, childbirth and the puerperium","Total",22
1981,"All pregnancy, childbirth and the puerperium","Females",25
1981,"All pregnancy, childbirth and the puerperium","Total",25
1982,"All pregnancy, childbirth and the puerperium","Females",25
1982,"All pregnancy, childbirth and the puerperium","Total",25
1983,"All pregnancy, childbirth and the puerperium","Females",15
1983,"All pregnancy, childbirth and the puerperium","Total",15
1984,"All pregnancy, childbirth and the puerperium","Females",18
1984,"All pregnancy, childbirth and the puerperium","Total",18
1985,"All pregnancy, childbirth and the puerperium","Females",11
1985,"All pregnancy, childbirth and the puerperium","Total",11
1986,"All pregnancy, childbirth and the puerperium","Females",15
1986,"All pregnancy, childbirth and the puerperium","Total",15
1987,"All pregnancy, childbirth and the puerperium","Females",13
1987,"All pregnancy, childbirth and the puerperium","Total",13
1988,"All pregnancy, childbirth and the puerperium","Females",12
1988,"All pregnancy, childbirth and the puerperium","Total",12
1989,"All pregnancy, childbirth and the puerperium","Females",13
1989,"All pregnancy, childbirth and the puerperium","Total",13
1990,"All pregnancy, childbirth and the puerperium","Females",16
1990,"All pregnancy, childbirth and the puerperium","Total",16
1991,"All pregnancy, childbirth and the puerperium","Females",13
1991,"All pregnancy, childbirth and the puerperium","Total",13
1992,"All pregnancy, childbirth and the puerperium","Females",9
1992,"All pregnancy, childbirth and the puerperium","Total",9
1993,"All pregnancy, childbirth and the puerperium","Females",15
1993,"All pregnancy, childbirth and the puerperium","Total",15
1994,"All pregnancy, childbirth and the puerperium","Females",16
1994,"All pregnancy, childbirth and the puerperium","Total",16
1995,"All pregnancy, childbirth and the puerperium","Females",24
1995,"All pregnancy, childbirth and the puerperium","Total",24
1996,"All pregnancy, childbirth and the puerperium","Females",12
1996,"All pregnancy, childbirth and the puerperium","Total",12
1997,"All pregnancy, childbirth and the puerperium","Females",12
1997,"All pregnancy, childbirth and the puerperium","Total",12
1998,"All pregnancy, childbirth and the puerperium","Females",7
1998,"All pregnancy, childbirth and the puerperium","Total",7
1999,"All pregnancy, childbirth and the puerperium","Females",11
1999,"All pregnancy, childbirth and the puerperium","Total",11
2000,"All pregnancy, childbirth and the puerperium","Females",15
2000,"All pregnancy, childbirth and the puerperium","Total",15
2001,"All pregnancy, childbirth and the puerperium","Females",12
2001,"All pregnancy, childbirth and the puerperium","Total",12
2002,"All pregnancy, childbirth and the puerperium","Females",12
2002,"All pregnancy, childbirth and the puerperium","Total",12
2003,"All pregnancy, childbirth and the puerperium","Females",8
2003,"All pregnancy, childbirth and the puerperium","Total",8
2004,"All pregnancy, childbirth and the puerperium","Females",11
2004,"All pregnancy, childbirth and the puerperium","Total",11
2005,"All pregnancy, childbirth and the puerperium","Females",9
2005,"All pregnancy, childbirth and the puerperium","Total",9
2006,"All pregnancy, childbirth and the puerperium","Females",11
2006,"All pregnancy, childbirth and the puerperium","Total",11
2007,"All pregnancy, childbirth and the puerperium","Females",6
2007,"All pregnancy, childbirth and the puerperium","Total",6
2008,"All pregnancy, childbirth and the puerperium","Females",6
2008,"All pregnancy, childbirth and the puerperium","Total",6
2009,"All pregnancy, childbirth and the puerperium","Females",9
2009,"All pregnancy, childbirth and the puerperium","Total",9
2010,"All pregnancy, childbirth and the puerperium","Females",13
2010,"All pregnancy, childbirth and the puerperium","Total",13
2011,"All pregnancy, childbirth and the puerperium","Females",13
2011,"All pregnancy, childbirth and the puerperium","Total",13
2012,"All pregnancy, childbirth and the puerperium","Females",16
2012,"All pregnancy, childbirth and the puerperium","Total",16
2013,"All pregnancy, childbirth and the puerperium","Females",6
2013,"All pregnancy, childbirth and the puerperium","Total",6
2014,"All pregnancy, childbirth and the puerperium","Females",12
2014,"All pregnancy, childbirth and the puerperium","Total",12
1968,"All certain conditions originating in the perinatal period","Males",1382
1968,"All certain conditions originating in the perinatal period","Females",976
1968,"All certain conditions originating in the perinatal period","Total",2358
1969,"All certain conditions originating in the perinatal period","Males",1472
1969,"All certain conditions originating in the perinatal period","Females",977
1969,"All certain conditions originating in the perinatal period","Total",2449
1970,"All certain conditions originating in the perinatal period","Males",1538
1970,"All certain conditions originating in the perinatal period","Females",1001
1970,"All certain conditions originating in the perinatal period","Total",2539
1971,"All certain conditions originating in the perinatal period","Males",1468
1971,"All certain conditions originating in the perinatal period","Females",1086
1971,"All certain conditions originating in the perinatal period","Total",2554
1972,"All certain conditions originating in the perinatal period","Males",1419
1972,"All certain conditions originating in the perinatal period","Females",962
1972,"All certain conditions originating in the perinatal period","Total",2381
1973,"All certain conditions originating in the perinatal period","Males",1269
1973,"All certain conditions originating in the perinatal period","Females",880
1973,"All certain conditions originating in the perinatal period","Total",2149
1974,"All certain conditions originating in the perinatal period","Males",1253
1974,"All certain conditions originating in the perinatal period","Females",819
1974,"All certain conditions originating in the perinatal period","Total",2072
1975,"All certain conditions originating in the perinatal period","Males",999
1975,"All certain conditions originating in the perinatal period","Females",674
1975,"All certain conditions originating in the perinatal period","Total",1673
1976,"All certain conditions originating in the perinatal period","Males",867
1976,"All certain conditions originating in the perinatal period","Females",661
1976,"All certain conditions originating in the perinatal period","Total",1528
1977,"All certain conditions originating in the perinatal period","Males",718
1977,"All certain conditions originating in the perinatal period","Females",523
1977,"All certain conditions originating in the perinatal period","Total",1241
1978,"All certain conditions originating in the perinatal period","Males",696
1978,"All certain conditions originating in the perinatal period","Females",492
1978,"All certain conditions originating in the perinatal period","Total",1188
1979,"All certain conditions originating in the perinatal period","Males",634
1979,"All certain conditions originating in the perinatal period","Females",462
1979,"All certain conditions originating in the perinatal period","Total",1096
1980,"All certain conditions originating in the perinatal period","Males",626
1980,"All certain conditions originating in the perinatal period","Females",450
1980,"All certain conditions originating in the perinatal period","Total",1076
1981,"All certain conditions originating in the perinatal period","Males",553
1981,"All certain conditions originating in the perinatal period","Females",403
1981,"All certain conditions originating in the perinatal period","Total",956
1982,"All certain conditions originating in the perinatal period","Males",587
1982,"All certain conditions originating in the perinatal period","Females",419
1982,"All certain conditions originating in the perinatal period","Total",1006
1983,"All certain conditions originating in the perinatal period","Males",504
1983,"All certain conditions originating in the perinatal period","Females",411
1983,"All certain conditions originating in the perinatal period","Total",915
1984,"All certain conditions originating in the perinatal period","Males",469
1984,"All certain conditions originating in the perinatal period","Females",354
1984,"All certain conditions originating in the perinatal period","Total",823
1985,"All certain conditions originating in the perinatal period","Males",550
1985,"All certain conditions originating in the perinatal period","Females",441
1985,"All certain conditions originating in the perinatal period","Total",991
1986,"All certain conditions originating in the perinatal period","Males",507
1986,"All certain conditions originating in the perinatal period","Females",357
1986,"All certain conditions originating in the perinatal period","Total",864
1987,"All certain conditions originating in the perinatal period","Males",474
1987,"All certain conditions originating in the perinatal period","Females",342
1987,"All certain conditions originating in the perinatal period","Total",816
1988,"All certain conditions originating in the perinatal period","Males",511
1988,"All certain conditions originating in the perinatal period","Females",383
1988,"All certain conditions originating in the perinatal period","Total",894
1989,"All certain conditions originating in the perinatal period","Males",481
1989,"All certain conditions originating in the perinatal period","Females",372
1989,"All certain conditions originating in the perinatal period","Total",853
1990,"All certain conditions originating in the perinatal period","Males",532
1990,"All certain conditions originating in the perinatal period","Females",369
1990,"All certain conditions originating in the perinatal period","Total",901
1991,"All certain conditions originating in the perinatal period","Males",446
1991,"All certain conditions originating in the perinatal period","Females",352
1991,"All certain conditions originating in the perinatal period","Total",798
1992,"All certain conditions originating in the perinatal period","Males",478
1992,"All certain conditions originating in the perinatal period","Females",368
1992,"All certain conditions originating in the perinatal period","Total",846
1993,"All certain conditions originating in the perinatal period","Males",412
1993,"All certain conditions originating in the perinatal period","Females",284
1993,"All certain conditions originating in the perinatal period","Total",696
1994,"All certain conditions originating in the perinatal period","Males",402
1994,"All certain conditions originating in the perinatal period","Females",293
1994,"All certain conditions originating in the perinatal period","Total",695
1995,"All certain conditions originating in the perinatal period","Males",384
1995,"All certain conditions originating in the perinatal period","Females",291
1995,"All certain conditions originating in the perinatal period","Total",675
1996,"All certain conditions originating in the perinatal period","Males",391
1996,"All certain conditions originating in the perinatal period","Females",309
1996,"All certain conditions originating in the perinatal period","Total",700
1997,"All certain conditions originating in the perinatal period","Males",347
1997,"All certain conditions originating in the perinatal period","Females",292
1997,"All certain conditions originating in the perinatal period","Total",639
1998,"All certain conditions originating in the perinatal period","Males",333
1998,"All certain conditions originating in the perinatal period","Females",256
1998,"All certain conditions originating in the perinatal period","Total",589
1999,"All certain conditions originating in the perinatal period","Males",377
1999,"All certain conditions originating in the perinatal period","Females",264
1999,"All certain conditions originating in the perinatal period","Total",641
2000,"All certain conditions originating in the perinatal period","Males",360
2000,"All certain conditions originating in the perinatal period","Females",282
2000,"All certain conditions originating in the perinatal period","Total",642
2001,"All certain conditions originating in the perinatal period","Males",395
2001,"All certain conditions originating in the perinatal period","Females",286
2001,"All certain conditions originating in the perinatal period","Total",681
2002,"All certain conditions originating in the perinatal period","Males",372
2002,"All certain conditions originating in the perinatal period","Females",303
2002,"All certain conditions originating in the perinatal period","Total",675
2003,"All certain conditions originating in the perinatal period","Males",341
2003,"All certain conditions originating in the perinatal period","Females",266
2003,"All certain conditions originating in the perinatal period","Total",607
2004,"All certain conditions originating in the perinatal period","Males",319
2004,"All certain conditions originating in the perinatal period","Females",241
2004,"All certain conditions originating in the perinatal period","Total",560
2005,"All certain conditions originating in the perinatal period","Males",376
2005,"All certain conditions originating in the perinatal period","Females",300
2005,"All certain conditions originating in the perinatal period","Total",676
2006,"All certain conditions originating in the perinatal period","Males",361
2006,"All certain conditions originating in the perinatal period","Females",292
2006,"All certain conditions originating in the perinatal period","Total",653
2007,"All certain conditions originating in the perinatal period","Males",331
2007,"All certain conditions originating in the perinatal period","Females",256
2007,"All certain conditions originating in the perinatal period","Total",587
2008,"All certain conditions originating in the perinatal period","Males",340
2008,"All certain conditions originating in the perinatal period","Females",256
2008,"All certain conditions originating in the perinatal period","Total",596
2009,"All certain conditions originating in the perinatal period","Males",369
