"year","causeOfDeath","sex","deaths"
2005,"Dementia and Alzheimer disease","Females",3219
2005,"Dementia and Alzheimer disease","Total",4653
2006,"Dementia and Alzheimer disease","Males",2076
2006,"Dementia and Alzheimer disease","Females",4474
2006,"Dementia and Alzheimer disease","Total",6550
2007,"Dementia and Alzheimer disease","Males",2414
2007,"Dementia and Alzheimer disease","Females",4904
2007,"Dementia and Alzheimer disease","Total",7318
2008,"Dementia and Alzheimer disease","Males",2708
2008,"Dementia and Alzheimer disease","Females",5464
2008,"Dementia and Alzheimer disease","Total",8172
2009,"Dementia and Alzheimer disease","Males",2788
2009,"Dementia and Alzheimer disease","Females",5492
2009,"Dementia and Alzheimer disease","Total",8280
2010,"Dementia and Alzheimer disease","Males",2920
2010,"Dementia and Alzheimer disease","Females",6083
2010,"Dementia and Alzheimer disease","Total",9003
2011,"Dementia and Alzheimer disease","Males",3267
2011,"Dementia and Alzheimer disease","Females",6597
2011,"Dementia and Alzheimer disease","Total",9864
2012,"Dementia and Alzheimer disease","Males",3405
2012,"Dementia and Alzheimer disease","Females",6962
2012,"Dementia and Alzheimer disease","Total",10367
2013,"Dementia and Alzheimer disease","Males",3656
2013,"Dementia and Alzheimer disease","Females",7277
2013,"Dementia and Alzheimer disease","Total",10933
2014,"Dementia and Alzheimer disease","Males",4106
2014,"Dementia and Alzheimer disease","Females",7859
2014,"Dementia and Alzheimer disease","Total",11965
1979,"Chronic kidney disease","Males",629
1979,"Chronic kidney disease","Females",907
1979,"Chronic kidney disease","Total",1536
1980,"Chronic kidney disease","Males",747
1980,"Chronic kidney disease","Females",875
1980,"Chronic kidney disease","Total",1622
1981,"Chronic kidney disease","Males",678
1981,"Chronic kidney disease","Females",964
1981,"Chronic kidney disease","Total",1642
1982,"Chronic kidney disease","Males",773
1982,"Chronic kidney disease","Females",1016
1982,"Chronic kidney disease","Total",1789
1983,"Chronic kidney disease","Males",741
1983,"Chronic kidney disease","Females",986
1983,"Chronic kidney disease","Total",1727
1984,"Chronic kidney disease","Males",703
1984,"Chronic kidney disease","Females",945
1984,"Chronic kidney disease","Total",1648
1985,"Chronic kidney disease","Males",753
1985,"Chronic kidney disease","Females",1005
1985,"Chronic kidney disease","Total",1758
1986,"Chronic kidney disease","Males",696
1986,"Chronic kidney disease","Females",992
1986,"Chronic kidney disease","Total",1688
1987,"Chronic kidney disease","Males",706
1987,"Chronic kidney disease","Females",1012
1987,"Chronic kidney disease","Total",1718
1988,"Chronic kidney disease","Males",786
1988,"Chronic kidney disease","Females",1034
1988,"Chronic kidney disease","Total",1820
1989,"Chronic kidney disease","Males",782
1989,"Chronic kidney disease","Females",1089
1989,"Chronic kidney disease","Total",1871
1990,"Chronic kidney disease","Males",806
1990,"Chronic kidney disease","Females",1021
1990,"Chronic kidney disease","Total",1827
1991,"Chronic kidney disease","Males",823
1991,"Chronic kidney disease","Females",1045
1991,"Chronic kidney disease","Total",1868
1992,"Chronic kidney disease","Males",778
1992,"Chronic kidney disease","Females",1009
1992,"Chronic kidney disease","Total",1787
1993,"Chronic kidney disease","Males",830
1993,"Chronic kidney disease","Females",1028
1993,"Chronic kidney disease","Total",1858
1994,"Chronic kidney disease","Males",882
1994,"Chronic kidney disease","Females",1050
1994,"Chronic kidney disease","Total",1932
1995,"Chronic kidney disease","Males",839
1995,"Chronic kidney disease","Females",1060
1995,"Chronic kidney disease","Total",1899
1996,"Chronic kidney disease","Males",954
1996,"Chronic kidney disease","Females",1126
1996,"Chronic kidney disease","Total",2080
1997,"Chronic kidney disease","Males",1051
1997,"Chronic kidney disease","Females",1186
1997,"Chronic kidney disease","Total",2237
1998,"Chronic kidney disease","Males",1048
